"date","close","volume","open","high","low"
"2015/06/04","2.3300","11491820.0000","2.2800","2.3300","2.2600"
"2015/06/03","2.2800","8046887.0000","2.3000","2.3200","2.2800"
"2015/06/02","2.3000","7103022.0000","2.2600","2.3000","2.2500"
"2015/06/01","2.2500","6779356.0000","2.2900","2.3000","2.2500"
"2015/05/29","2.2800","7727023.0000","2.2700","2.3200","2.2500"
"2015/05/28","2.2700","12123430.0000","2.2800","2.3300","2.2700"
"2015/05/27","2.2800","17413660.0000","2.2400","2.2800","2.2000"
"2015/05/26","2.2200","10003490.0000","2.2700","2.2800","2.2200"
"2015/05/22","2.2800","12815880.0000","2.3000","2.3100","2.2700"
"2015/05/21","2.2800","7119698.0000","2.3100","2.3500","2.2800"
"2015/05/20","2.3200","6800595.0000","2.3000","2.3300","2.2800"
"2015/05/19","2.2800","9583275.0000","2.3600","2.3700","2.2800"
"2015/05/18","2.3500","4681622.0000","2.3500","2.3600","2.3300"
"2015/05/15","2.3200","8036913.0000","2.3300","2.3800","2.3200"
"2015/05/14","2.3300","8858710.0000","2.3800","2.3900","2.3300"
"2015/05/13","2.3700","7249043.0000","2.3600","2.3800","2.3500"
"2015/05/12","2.3500","10016600.0000","2.3200","2.3500","2.3000"
"2015/05/11","2.3200","10043790.0000","2.3100","2.3500","2.3100"
"2015/05/08","2.3100","9758803.0000","2.3300","2.3600","2.3000"
"2015/05/07","2.3200","15012520.0000","2.3200","2.3200","2.2600"
"2015/05/06","2.2900","18491600.0000","2.2900","2.3050","2.2400"
"2015/05/05","2.2800","12367660.0000","2.3400","2.3400","2.2500"
"2015/05/04","2.3100","9664705.0000","2.3100","2.3600","2.3000"
"2015/05/01","2.3100","11654300.0000","2.2600","2.3100","2.2500"
"2015/04/30","2.2600","11462370.0000","2.2800","2.3100","2.2600"
"2015/04/29","2.2800","11867040.0000","2.3000","2.3300","2.2700"
"2015/04/28","2.3100","11428850.0000","2.3600","2.3700","2.3100"
"2015/04/27","2.3400","13476680.0000","2.3000","2.3600","2.2900"
"2015/04/24","2.3000","14990940.0000","2.3600","2.3800","2.3000"
"2015/04/23","2.3300","15125260.0000","2.2800","2.3600","2.2600"
"2015/04/22","2.2800","27614960.0000","2.3500","2.3600","2.2500"
"2015/04/21","2.3500","31241710.0000","2.5300","2.5300","2.3500"
"2015/04/20","2.4900","29147160.0000","2.5600","2.5700","2.4500"
"2015/04/17","2.5750","53122450.0000","2.5350","2.5800","2.4500"
"2015/04/16","2.8700","28179120.0000","2.7200","2.9400","2.7000"
"2015/04/15","2.7000","15252720.0000","2.7000","2.7400","2.6500"
"2015/04/14","2.6700","13346730.0000","2.7700","2.7900","2.6500"
"2015/04/13","2.7800","8387343.0000","2.7600","2.8000","2.7300"
"2015/04/10","2.7600","6174922.0000","2.7400","2.7800","2.7300"
"2015/04/09","2.7200","7114736.0000","2.6900","2.7500","2.6900"
"2015/04/08","2.7100","4348785.0000","2.6800","2.7400","2.6800"
"2015/04/07","2.7000","5729175.0000","2.7000","2.7400","2.6900"
"2015/04/06","2.7000","8047911.0000","2.6800","2.7300","2.6800"
"2015/04/02","2.6900","7045863.0000","2.6600","2.7000","2.6500"
"2015/04/01","2.6900","11235510.0000","2.6600","2.7500","2.6500"
"2015/03/31","2.6800","7024181.0000","2.6600","2.7000","2.6500"
"2015/03/30","2.7000","8557807.0000","2.7300","2.7600","2.6550"
"2015/03/27","2.7200","16818630.0000","2.7000","2.8000","2.6300"
"2015/03/26","2.6500","28196150.0000","2.5900","2.7000","2.5300"
"2015/03/25","2.6300","26953530.0000","2.7800","2.7900","2.5600"
"2015/03/24","2.7900","8696232.0000","2.8500","2.8500","2.7600"
"2015/03/23","2.8400","7420847.0000","2.8100","2.8500","2.8000"
"2015/03/20","2.8000","10758700.0000","2.7600","2.8000","2.7400"
"2015/03/19","2.7400","8781601.0000","2.7600","2.7800","2.7300"
"2015/03/18","2.7500","11382790.0000","2.7700","2.8200","2.7200"
"2015/03/17","2.7700","7741149.0000","2.7500","2.7950","2.7399"
"2015/03/16","2.7600","6130375.0000","2.7500","2.8100","2.7500"
"2015/03/13","2.7500","8098865.0000","2.7400","2.7800","2.7100"
"2015/03/12","2.7600","13825140.0000","2.7600","2.7900","2.7150"
"2015/03/11","2.8400","11750480.0000","2.9200","2.9450","2.8000"
"2015/03/10","2.9200","10276840.0000","2.9700","2.9800","2.9200"
"2015/03/09","2.9300","12262970.0000","2.9200","2.9800","2.9000"
"2015/03/06","2.9200","16785240.0000","2.9600","2.9900","2.8300"
"2015/03/05","2.9800","11471770.0000","3.1000","3.1000","2.9800"
"2015/03/04","3.0500","12113840.0000","3.1400","3.1400","3.0100"
"2015/03/03","3.1400","8644947.0000","3.2000","3.2300","3.1300"
"2015/03/02","3.2100","15629320.0000","3.1300","3.2300","3.1100"
"2015/02/27","3.1100","7149149.0000","3.0700","3.1200","3.0700"
"2015/02/26","3.0800","8680872.0000","3.1000","3.1250","3.0600"
"2015/02/25","3.1000","6151341.0000","3.0800","3.1400","3.0600"
"2015/02/24","3.1100","10901380.0000","3.0600","3.1150","3.0200"
"2015/02/23","3.0600","6318836.0000","3.0500","3.1000","3.0300"
"2015/02/20","3.0600","10667420.0000","3.0300","3.1300","3.0200"
"2015/02/19","3.0550","6565546.0000","3.0600","3.0800","3.0100"
"2015/02/18","3.0800","7282617.0000","3.1100","3.1350","3.0600"
"2015/02/17","3.1100","8674560.0000","3.1600","3.1700","3.0800"
"2015/02/13","3.1500","9585105.0000","3.1300","3.1800","3.1100"
